food	service	text
0	0	Как и обещала - пишу отзыв. Сразу оговорюсь - отзыв о банкете, а не о самом ресторане. Может кому-то поможет. Вводные: провести банкет на 30 человек в загородном ресторане при гостинице в связи с необходимостью размещения практически всех гостей. Решение: Репино Бутик Отель. Плюсы – достойный отель с хорошими номерами. Порадовали как люксы, так и стандарты. Отменная команда отдела продаж – любые вопросы решались еще до момента их поступления. Очень позитивное отношение персонала подкупало. Не скажу, что мы были слишком требовательны и доставили много хлопот… в любом случае – я осталась очень довольна именно уровнем менеджмента (что в рамках подготовки мероприятия очень ценно). Нам действительно накрыли зал на втором этаже (так что ресторан работал – постояльцев на выходных было достаточно много), оставив диваны для «поболтать». Минусы – показалось, что большого опыта в проведении банкетов у ресторана нет. Не берусь утверждать, но показалось не только мне. Стоимость банкетного меню начиналась с достаточно низкой планки (1500 или 1900 рублей на человека с алкоголем ()кстати, на сайте заявлены более высокие цены)) и дальше была представлена в, кажется, 5 вариантах и доходила до 2400. Эти варианты были укомплектованы в меню. Не ожидала удивления, которое вызвала моя попытка собрать собственное меню. Обычно рестораны предлагают набор банкетных блюд, на основе которых ты можешь составить свое меню, основываясь на предпочтениях гостей. Не всегда с радостью дают поиграть с количеством, но, если настаиваешь (а это надо делать обязательно) – все решается. В этот раз пришлось объяснять руководству ресторана, что ни один из имеющихся наборов меню нам не подходит. Не скрою, все решилось в нашу пользу. Стоимость меню составила 2900 на человека. Если посчитать со стоимостью аренды зала, с чаевыми и дополнительным заказом не большого количества алкоголя ( крепкий алкоголь, кстати, не очень хорошо представлен в банкетном варианте)– 3900 р/чел. С одной стороны – не очень дорого, с другой стороны – дороже, чем ресторан заявлял. С обеих сторон за эти деньги мы получили весьма посредственный сервис. Сами официанты были более, чем позитивно настроены, но качество обслуживания хромало. В начале вечера было несколько официантов – точно не помню, сколько. Со второй половины осталось два. Стол практически не убирался – десерт я ела, глядя в кокотницу на остатки жульена. Кстати, что еще не понравилось – запах. Очень здорово, что мы не курили в этом помещении. Судя по всему там или плохая вентиляция, или она не работала. Постоянно стоял запах еды. Только не говорите, что в зале, где едят должно пахнуть едой. Так – не должно. Еще из минусов – сама еда. Возможно придираюсь и с т.з. заявленных весьма бюджетных цен все было нормально ..но мне не очень понравилось. Правда признаюсь, ела не много, т.к. вела программу. Возможностей приготовить эксклюзивный торт у ресторана не было – ограничились бисквитным «пьяная вишня» прямоугольной формой, надписью и пищевыми фейерверками. Оценивать ресторан не буду, т.к. в самом ресторане, кроме завтрака, не ела. А портить картину плохими балами всему заведению не хочу. Итог – для проведения мероприятий среднего уровня с отличным размещением и без особой головной боли – отличное место! Отдельно банкет я бы там не заказывала…. С другой стороны – цены хороши. Не знаю, что у них на корпоративную сезонку будет (имею в виду НГ, например). Девушкам из отдела продаж – еще раз большое спасибо! Гости остались очень довольны. А за то, что ворчу – простите - перфекционист, да еще и работа такая ;)
2	1	Ресторан БЫЛ одним из любимых, в силу разных обстоятельств довольно долго не бывала, и вот сегодня, по дороге из Ленэкспо заехала с важными для меня гостями нашего города поужинать. В 19 часов ресторан был практически пуст, знакомое лицо швейцара также доброжелательно - в общем подвоха заподозрить не удалось. Меню принесли быстро, но про винную карту забыли начисто - гости решили, что раз русская кухня - поэтому в меню только водка. Меня же терзали смутные сомнения... Заказ приняли быстро, после наводящего вопроса появилась и винная карта, но вот той же водки, не оказалось 200 мл ни одной, ни второй (Финляндия клюквенная, затем брусничная для одной гостьи) - это было уже как-то непонятно, и спиртные напитки мы ждали 20 минут, и немудрящие закуски к ним (соленья) мы ждали ещё 20 минут после подачи спиртного. Я заказала салат из солёных груздей и сметаны с картофелем... помимо указанных ингредиентов там ещё содержался какой-то салат листовой, прямо с не промытыми на вид корешками, в общем, салат противно скрипел на зубах. Было неприятно, но решила смолчать - мне не хотелось портить впечатление. Ещё через 30 минут принесли манты для первой гостьи (всего их заказали 3 человека) вторые 2 порции оказались на столе через 20 минут после первой, вид у этизх 2х порций был уже заветренный - судя по всему, они тоже мучительно долго ждали официанта Меньшикову Алёну, при этом соус для ещё одной порции прибыл сразу, а мой несли ещё 10 минут вместе с шашлыком для ещё одного гостя (действительно, к чему размениваться по мелочам?!). Манты были остывшие и с безобразно жёсткой начинкой. Резюме гостей : ну, Манты мы едали и получше. За недоложенными приборами (ножи) официантка ходила тоже, как будто через мост. Мне надо было уезжать, гости оставались, и я попросила счёт, который мне несли ещё .... в общем, через 30 минут ожидания я не выдержала, и пошла платить сама, высказав свои претензии по качеству еды и обслуживания. В ответ от менеджера ресторана я услышала дословно: - а что вы хотите? у нас только 2 официанта и стажер! Причём тон и мимика вызывали ассоциации с матёрым совком, да и качество еды в общем-то тоже. В общем, достойное некогда место превратилось в столовку для круизно-автобусной публики - т.е. одноразовые визиты, не обязывающие персонал практически ни к чему, и делающие визиты посетителей, которые ходят не косяками, и ещё расчитывают на качество и сервис не интересными персоналу и владельцам. Ну чтож... Так держать, дорогие товарищи совки.
0	0	По пунктам: 1) Интерьер/атмосфера - присоединяюсь к предыдущему. 2) Сервис - не сервис. очень "по-домашнему". в общем, тоже полностью согласен. 3) Кухня. - Снова салат с фасолью, креветками, брынзой и ломтиком лимона (250 RR). Ну такой несложно дома сделать. Я бы назвал его "студенческий изысканный". - Крем-суп зеленый с лососем (180 RR) (или с семгой? Не помню, извините. А в чеке просто "крем-суп". Но не суть). Взбивали долго, получилось лешчайше и почти безвкусно. Удалось его покушать только благодаря утопленным сухарям. И запах лосося (или семги). И черный перец. Скорее, семга. - "Фетучини с броколи" (с) по чеку :)) (350 RR) это было самым приятным из всей трапезы. Люблю брокколи, люблю макароны, люблю какой-то соус. Даже остыть не успели - все съел. - Десерты. Чизкейк (150 RR), обещали, что готовят сами, но похоже было, что не сами. А со штруделем повезло меньше, чем предыдущему автору. Штрудель (220 RR) был не горяч и не ароматен, как хотелось бы, мороженого пожалели (3/4 шарика зажали), и джема не было. Но потенциально приятно, если учитывать возможную перспективу погреть и попросить "ой а побольше морожки сюда разве не?" - Чай черный с мятой (190 RR). Нормальный. Крепкий. - Было еще вино. Все по 180 RR за 100 мл. Судя по всему, самое демократичное из неопасного для здоровья. На выбор - несколько. Винников нет, льют в софты. Или в коньячки по просьбе гостей. + Порадовала уборная календарем на стене и светильником на зеркале ++ Ставлю оценку только за интерьер. За отличность. Кухня так-то на 5, наверное, но это ж вообще формат неизвестный. Какая тебе кухня, когда тут диван древний? +++ Хозяйка очень смешно общалась с заблудившими(ся) в это заведение иностранцами фразами "Гуд", "Вери вери гуд" (про позиции меню), "Рашн бефстроганов" и "Селедочка подводочная на двоих". А еще "рашн вино ноу, плохое. РАШН ВОДКА!" Итого: можно сходить для разнообразия. От скуки / для развлечения. Для отвлечения от типичного общепита. На макароны и яблочный штрудель. Просто посмотреть.
1	10	Перед тем как написать самой, прочитала все комментарии ... Итог один, готовить в этом ресторане умею, может быть, но все таки позиционировать себя как ресторан национальной кухни с таким борщом, как у Вас ГОСПОДА НЕЛЬЗЯ. Борщ варится на мясе, а не так как у Вас - добавлением отварного нарезанного мяса, как в салат, так и в борщ, это я считаю кощунство в украинской кухне. Интерьер и обслуживание хорошее, но в ресторан ходят не за этим. В меню мало украинских блюд ... Порадовала только водка, но она не может не радовать :)
0	1	Сервис отвратительный! Официанты хамы редкостные!! ! Я считаю, что руководству данного заведения надо принять во внимание, что вы теряете хороших клиентов из- за своих сотрудников! В счет включают все, что хотят, видя, что люди выпивают, отдыхают! Песни стабильно прибавляют в большую сторону! Подруге подарили розу, она поставила ее в стакан. Стакан разбился, так даже это включили в счет!!!! Дешевские икеевские трехрублёвые стаканы!!! И это при сума шедшем ценнике на алкоголь!!!! Если вы продаете самое дешевое вино за 2500, которое стоит 200 рублей бутылка в окее!!!!, то можно не позориться включать стакан в счет! Тем более, что девушка даже пьяная не была!!! Первый раз с таким встречаюсь в ресторане! Простите, но это мыромойством называется!!! А когда я попыталась выяснить почему так много песен и еще каких- то непонятных позиций, мне какая- то страшная нерусская девушка чуть ли не в лицо бумажки кинула с песнями, а молодой человек вообще нахамил, сказав мне, что я много вы.....сь))) отличный сервис, ребята!!!! Так держать!!! С учетом того, сто я сама являюсь руководителем высшего звена в сфере услуг- я в шоке!! Желания к вам ходить больше нет! И это все при совсем немалом ценнике!!! Никому не рекомендую, т.к при таком уровне цен, сервис, как в дешевой забегаловке!!! Обратите внимание на персонал, т. К в век высокой конкуренции брать нужно отношением, сервисом, хорошим отношением к своим клиентам!!! Фууууу
1	1	Сегодня решили поужинать в этом замечательном ресторане....Ну жесть какая-то,скажу я Вам!!!!! По порядку : Обслуживание кошмарное! Не смотря на то что это вечер пятницы, народа было очень мало,но заказ нам несли неприлично долго! Чай ждали полчаса! В итоге, из 2 страниц европейского меню мы заказали свинину в ореховой панировке и цыпленка в картофельном одеяле. На гарнир я заказала картофель айдахо....И теперь скажите мне пожалуйста, почему СВИНИНА состоит из ВЕТЧИНЫ?))) Вы бы хоть написали,что это "Свинина фаршированная ветчиной с 2-3 орехами" .... Курица пресная,ни о чем... Картофель думала меня развеселит, но ведь не потрудились его даже на половину приготовить! Он был сырой! Греческий салат был еще съедобный... Интерьер кошмарный, кому пришло в голову смешивать такие цвета, идея ресторана довольно интересная,но так бездарно оформлена. Очень не уютно,холодно. В помещении настолько скучно,что кроме "Каникул в Мекске" по MTV и занять то себя нечем. Уж не знаю как люди там находят для себя "отличную атмосферу". Мы с молодым человеком остались не довольны,т.к. ушли без настроения и в итоге нормально поесть мы не смогли. Второй раз ни я, ни он точно в это место не вернемся. Ни одного плюса в заведении.Ни одного.Хотя сайт довольно приятный,отзывы на 90% положительные , фото сделаны грамотно . Но на самом деле,заведение не заслуживает внимания.
1	4	По отзывам вижу, что с моей рекомендации уже не один "рестоклабовец" посетил данный паб и остался доволен кухней, как я и рассказывал. И мне бы и хотелось сдержаться, но о случившемся в последнее посещение беспределе не написать не могу. Господа, вы можете себе представить, когда Вам при заказе стейка приносят... Нет, не передержанный до well done при заказе medium, нет, не посредственный стейк из обычной белорусской говядины. Ни за что не догадаетесь!!! - Мне принесли подошву из старой-престарой говядины, всю в нежующихся жилах, застревающую в зубах и пр. Нет, это уже не дер...вый стейк, ЭТО ОБМАН ПОКУПАТЕЛЯ! Обслуживание, как всегда, - никакое. Ещё ни разу мне в этом пабе не меняли пепельницу. Только по настоятельной просьбе. А я ведь беседовал с управляющей и говорил, что если не подтянет сервис, то я лично ходить перестану, хотя и живу близко, и кухня нравится. А тут ещё и такое НАДУВАТЕЛЬСТВО со стейком произошло. Всё, крест, я сюда больше не ходок. Я готов по-человечески понять, когда принесли плохоприготовленное блюдо, но когда за стейковое мясо выдают вообще полный неликвид, - это преднамеренный обман. Хорошая есть пословица - жадность порождает бедность. Сэкономили на мясе = -1 постоянник.
1	3	Добрый день! Вчера с компанией заехали поужинать в Гусыню. Начну с того что я неоднократно заранее встречался с администратором заведения и обсуждал все моменты и условия наших будущих посиделок в данном заведении. Был там до этого три раза и каждый раз в обслуживании были какие-то нюансы(не принесли хлеб или забыли принести столовые приборы, а один раз вообще перепутали заказ.) Но время подходило к назначенной дате, искать другое заведение уже не хотелось, да и готовили повара там не плохо. Последний раз, когда я встречался с админом заведения, я сделал акцент на все недостатки и попросил быть повнимательнее персонал и поваров к нашей компании... И вот настал тот день тот час, все начиналось по плану, мы сели за стол, начали есть закуски, затем нам вынесли горячее, и тут мы пришли в ужас, наше настроение упало под ноль, одному из наших сотрудников вынесли СЫРУЮ РЫБУ. На что администратор заведения предложил нам блюдо переделать, но уже честно ни чего не хотелось и времени уже не было. Заплатили по счету, встали и ушли. Больше в это безалаберное, безответственное заведение ни ногой.
1	1	Была там с подругой,хотели просто посидеть поболтать за жизнь. Вкусно покушать. В итоге обслуживание постоянно сбивало нам тему в разговоре,еда была просто мерзкая.что мы даже почти ничего не съели. В общем Я РАССТРОЕНА до сих пор. спасибо вам Акварель
1	1	Сенча Сенпай в студию!!!
0	5	Посетили небольшой дружной компанией данное заведение в пятницу 22ого октября. Такое ощущуение, что попали в "иксы", только девочки кот. пытались развеселить публику очень грубые и на сексуальных тансовщиц не очень тянут. Барменши "суппер!" Разводят мужчин на алкашку грамотно, но слишком навязчиво, из-за чего мы и отказались... Странно то, что девушек было 90% от всех присутствующих. А в целом - смахивает на диско для тинейджеров. Надо попробовать прийти еще, может под другое настроение будет другое впечатление:-)
1	1	Заведение УЖАСНОЕ!!!! Если не хотите испортить праздник себе и своим близким лучше в это,,,, НИ НОГОЙ!!! обслуживание уровня сельской ночной хоревки для малолетних наркоманов, впрочем что тут говорить, там за стойкой бара стоит постоянно упоротый бармен, с интеллектом КАПУСТЫ, официантки грубые селянки, которые вообще непонятно что там делают. Вообщем реально не по собственной воле попала туда ТРИЖДЫ и после последнего с уверенностью могу сказать, это не совпадения, а норма этого заведения. Уважаемые хозяева, если Вы не поменяете обслуживающий персонал, к Вам точно больше из приличных людей никто не придет, скажу больше, Вы потеряли за последние 0,5 года около 200 человек, которые еще ранее ходили в Ваше заведение и были всем довольны. Это просто действительно жуть. бармен не доливает прямо на глазах напитки, сдачу не дают "мол давайте позже, сейчас нет", а затем говорят "такого не было", просто инфернальное местечко конечно. ДРУЗЬЯ!!!! На побережье есть достойные места, и обслуживание достойное за те же деньги можно найти, поберегите себя и свои нервы!!!
1	2	Раньше было такое чудесное местечко с вкуснейшими десертами! Зашла на днях - по старой памяти... Ассортимент убогий, но я все-таки решилась на десерт в стеклянной вазочке (80 руб.). ЭТО оказалось порезанным творожным сырком с теплыми (то ли витрина не охлаждает, то ли подсветка так нагревает) безвкусными кусочками киви. Вот уж не предполагала, что в самом центре города можно отведать такую дрянь...
1	3	Посетили после 2 недель потребления итальянской кухни. Борща, знаете ли, холодненького похотелось. Итак, 40 мин на его приготовление нервировали, но вселяли надежду на качество. Его внесли.... 2 человека... Один держал, второй вливал что-то. Сначала из тарелок валил дым, потом доносилось потрескивание, заглянув в тарелку я понял, какого цвета и консистенции должно быть желудочное кровотечение. Официанты отбежали, полагаю, увидев мою реакцию. Первая мысль: кто завоевал мою страну за 2 недели отдыха? Как зовут вандала-повара, почему глумятся над святым и пояснения о молекулярной(!!!!) природе происхождения жижи смешались в чувство обиды и паники.... Господа повара! Обращаюсь к Вам с тревогой и озабоченностью в сохранении Вашей популяции: не трожьте борщи, окрошки, котлеты по-киевски, бефстроганов и пр. еду. Глумитесь сколько хотите над суши и прочей бесовщиной. Если я через пять лет буду тайно ездить под Выборг к старику-раскольнику чтобы поесть яичницы-глазуньи, ибо только ему известен ее секрет, вас нужно будет охранять, ибо те, кто любят вкусно есть, а не извращаться объявят Вам войну. Вас загонят в резервации, куда будет ходить силикон есть молекулярные субстанции. Короче, господа, позор и ахтунг. В меню надо уточнять, или эксцессы возможны даже несмотря на присутствие жен обманутых. Есть предел всему! Даешь еду! Долой провокации и обман! Руки поваров обратно в плечи! Мозги... Ну да... Кому-нибудь, если были в общепите. Короче - заведению "0". За обман, потраченое время, уровень пояснений и отсутствие извинений.
0	10	Отличное заведение, часто ходим с друзьями. Очень приветливый персонал!!! На счет кухни мало что могу сказать, так как ела там всего один раз стейк из лосося, было вкусно!!! По моему единственное место на староневском где можно посидеть и попить хорошого пива!!!
0	6	Хороший пивняк, в мрачном районе. Необычно чисто и приличный интерьер. Милый персонал. Можно весело посмотреть футбол, покричать неприличности. Девушкам одиноким входит или резона нет или прямой резон. С парковкой есть вопросы, но нет необходимости коли пить приехали. Спокойно относятся к небольшим заказам.
2	2	Первое знакомство в рестораном было, когда мы заказывали доставку. С Кондратьевского проспекта на Лабораторную улицу (расстояние между рестораном и пунктом доставки 5 минут пешком) заказ везли 2,5 часа. Логисты ресторана (если они конечно там вообще есть) посчитали, что быстрее будет, если курьер в начале поедет на площадь Мужества, а мы, видимо, были самым конечным пунктом. В другой раз (и в последний) мы решили сходить непосредственно в сам ресторан. Про интерьер говорить не буду, всё сказано, да и это не самое главное. Мы хотели заказть несколько блюд, которых, как выяснилось, вообще не было. Пришлось ломать голову и брать, то что было в наличии, а не то, чего хотелось. Но самое поразительное было то, что у них не оказалось простой воды без газа. То есть они отказались принести даже просто стакан кипячёной воды. Видимо её тоже не было. Если вы хотите отдохнуть с комфортом, то это самое неподходящее место.
1	3	Несколько дней назад в 11 утра у меня появились лишние сорок минут между встречами...Встала я в тот день рано, позавтракать не успела, так что сочла неплохой идей перекусить...Конечно же сесть хотелось на улице, благо погода стояла просто отличнейшая. Выбор пал на Тайхео, т.к. он работает с 11 и я как раз была на углу Невского и Фонтанки.... Терасса показалась темновата и грязновата, я выбрала стоик поближе к улице, куда доходит больше воздуха (хоть и загазованного, Невский все же) и солнечного света. Официантка дала мне разваливающееся в руках меню, с уже плохо читаемыми названиями и ценами. Цены, кстати, весьма высокие для такого уровня кухни. Хотя на столиках стояли таблички с предложением откушать окрошки и холодного борща за 50 рублей, может быть у них только японская кухня дорогая? Сама официантка не была грубой, но весь ее вид кричал о том, что она устала, не выспалась, ничему и никому не рада и т.д. Облезший лак на ногтях, очень грязная форма - я давно не видела таких заюзанных работников! Заказала ролл с острым тунцом, официантка сразу предупредила, что выглядеть он как на картинке из меню не будет. На картинке кусочки острого тунца были выложены поверх ролла, а на самом деле они оказались завернуты вовнутрь. Умер бедняга тунец, по всей видимости, своей смертью....И еще не раз умирал где-то в закромах этого ...ммм...заведения. В общем, есть я ЭТО не рискнула. Попила водички, поразглядывала людей на Невском и пошла на встречу. Конечно же, я и не ожидала от Тайхео каких-то гастрономических откровений...Все же я там когда-то, хоть и давно, но была, так что уровень заведения был известен заранее...Но за эти пару лет место превратилось в откровенную помойку!
0	1	Моему возмущению нет границ! Являясь постоянным клиентом любимой Мамалыги, Царя, Капулетти и других заведений Проекта, решили отметить День рождение дочери в Баклажане. Во второй половине дня зашли посмотреть интерьер и выбрать столик. Девушка менеджер, которая к сожалению не удосужилась представиться, встретила отнюдь не дружелюбно, с порога сообщив, что столик без предзаказа зарезервировать нельзя. Сели просматривать меню и составлять данный предзаказ. Задача эта, надо признаться, для нас была не из легких, так как часть наших гостей иностранцы и мы хотели, чтобы они сами сделали выбор на месте. Заказали ассорти из шашлыков, самсы и сыров, зелень, овощи, манты, лепешки. Остальное решили дозаказать на месте, повторюсь, что наши гости из Италии прилетают только в пятницу и мы не отважились делать выбор за них. Менеждер ушла считать заказ, а по возвращению сообщила, что необходимо выбрать угощения с расчетом 1500 на человека, иначе никакого резерва не будет, а у нас сумма меньше! Мы попытались объяснить ей ситуацию, но она практически указала нам на дверь! Возможно, у нее был просто плохой день, однако хорошей репутации ресторану это не прибавляет. Вы потеряли хороших клиентов, которые, уж поверьте, съели бы более чем на 1500 на человека, если бы к ним отнеслись вежливо и с пониманием! Жалко потраченного времени и испорченного настроения!
2	5	Отмечали праздник в ресторане Швабен Келлер. Больше туда ни ногой! И другим не советую! Во-1х, заказ ждали почти час. Во-2-х, цены просто заоблачные, что никак не соответствуют низкому качеству еды. Принесли рульку такую жёсткую, что пока резали, чуть не сломали нож. Серьёзно. И извините, она просто воняла. Колбаски с заявленным соусом по-берлински, оказались политыми обычным кетчупом. Но колбаски вкусные. Мороженое - обычное, жутко сухое, без сиропа только с шоколадным порошком. В общем, на ресторан это уж никак не тянет - в крайнем случае простенькая кафешка :(
2	7	в общем впечатление о ресторане, хорошее.пиво отличное. чего нельзя сказать о кухне - порции слишком маленькие за ту цену которую приходится платить и не очень вкусно. наценка судя по всему 500%. надо либо увеличивать порции либо снижать цену. что касается избалованности посетителями она налицо. владельцы зажрались, это очевидно поскольку люди владеют не только КиФ но и Русскими рыбалками и не желают чего либо менять, а красиво отписываются.
1	8	Все очень мило - и обслуживание, и антураж, но чтобы было ТАК невкусно! Честно говоря. в ресторане я еще ни разу не едала таких отвратительных блюд. Без содрогания не вспомнить.
0	0	Зашли случайно втроем уже в час ночи, народу было мало.. место обновилось народ приглядывается.. сели в некурящий зал, есть не хотелось, т.к отужинали в другом заведении хотелось просто продолжить вечер за беседой и бокальчиком вина. Порадовал очень интерьер, стало светлее и чище как то.. музыка приглушена и ты слышишь собеседника. Бутылку вина красиво принесли с подставкой и ведром со льдом. Обслуживала очень милая и улыбчивая девушка... Позже сподобились на пиццу, сделана не плохо,тоненькая с острой колбаской, в процессе еды острота особенно ощущалась. Остались позитивные эмоции от посещения и на этих эмоциях мои подружки и пошли в воскресенье днем, я не много задержалась и прибыла на место только через полтора часа и вот что я услышала, что заказав пюре с котлетами они ждали час, хотя в итоге оказалось что все было из полуфабрикатов (лично не видела, но склонна доверять), когда я подошла уже все пили кофе, я заказала кофе принесли достаточно быстро, но у молодого человека очень тряслись руки и мы обыграли это как шутку, что со всеми бывает, после кофе захотелось выпить соку, заказала молодому человеку апельсиновый, ждала минут 20 за разговором в итоге позвала другого мальчика, он очень удивился.. отошел.. спросил у того которому заказывали.. подошел обратно спросил апельсиновый?! т.е тот либо забыл либо перепутал, хотя заполняемость зала была процентов тридцать не больше. Когда выходили, до свидание никто не сказал. Не знаю посмотрим, что будет дальше с этим заведением превратится в обычную забегаловку или сохранит небольшую статусность, но думаю еще разок посидим и сделаем выводы!
0	1	Хотите ОТМЕТИТЬ тут СВАДЬБУ??? – КАТЕГОРИЧЕСКИ НЕТ!!!! Хочу высказать свое мнение по поводу ужасного сервиса ресторана Легран! Такая ситуация лично у меня случилась впервые! Мой отзыв скорее крик души, поскольку волна недоумения и негодования, захлестнувшая меня после случившегося, все же требует выплеска! Мероприятие наше, а именно – свадьба назначена на 30 сентября! Ресторан мы смотрели 17 августа. Как и многие другие (о чем я узнала, к сожалению, позже) мы с моим будущим мужем «купились» на антураж белого зала ресторана Легран. Надо отдать должное, зал действительно очень красиво декорирован – в светлых тонах, множество свечей, вазочек, статуэток и других интересных деталей интерьера – он и правда весьма удачно вписывается в свадебную тематику. Менеджер, с которой мы общались, показала нам зал, дала банкетное меню и записала наши данные, телефон в книгу резервации и сказала нам, что у нас еще есть время все обдумать. Если кто-то придет и захочет снять данный зал на эту же дату, первое, что они сделают – это позвонят нам и решат вопрос прежде всего с нами! Если мы будем готовы внести предоплату, то зал останется за нами, а другим желающим будет отказано! Дальше самое интересное!!! Мы приехали в ресторан 13 сентября с целью детально обговорить меню и заплатить задаток. А нам говорят, что на эту дату зал уже зарезервирован! Мы попросили открыть книгу резервации и увидели, что запись с нашими именами и контактным телефоном просто перечеркнута, а ниже вписаны совсем другие люди!!! По словам менеджера ресторана, эти люди уже внесли предоплату и сделать они уже ничего не могут! Нам естественно никто не звонил! Это 100 %!!! Поскольку и по работе и в личных делах мы всегда «на телефоне»! К тому же многие сейчас звонят – фотограф, видеооператор, ведущий, флорист и многие другие!!! Ни один звонок не остается без ответа!!! Опять же по словам менеджера, девушка, которая нам показывала ресторан в первый раз, уже уволилась, а сама она (менеджер) кстати работает в Легране первые две недели, и конечно же, ничего об этой ситуации не знает!!! Мы обратились с просьбой решить этот вопрос и вернуть нам именно белый зал! Менеджер сказала, что попытается позвонить людям, которые зарезервировали этот зал после нас. И конечно же, они оказались неместными – москвичами! Кроме того, менеджер сказала нам, что не хочет ввязывать в сложившуюся ситуацию третью сторону! Мы попросили дать нам контакты руководства ресторана, но так и не получили их! В ход пошли различные отговорки, мол она попробует решить этот вопрос без руководства. Но как бы мы не пытались - и лично при встрече и по телефону, но с руководством сего «прекрасного» заведения связаться так и не удалось никаким образом!!! Что по итогу??? Справедливости ради, скажу что девушка – менеджер, действительно пыталась хоть как-то разрешить ситуацию. Сначала предлагала другие залы ресторана Легран, потом скинула ссылку на ресторан, похожий по интерьеру в качестве альтернативы. Но это и очевидно, во-первых, она действовала прежде всего в своих интересах – кому хочется доводить до руководства такой конфликт на первых двух неделях работы??? Ну, а во-вторых, может быть, чисто по-человечески, она проявила некое сочувствие, видя на моем лице слезы и шок от происходящего. Оно и понятно, осталось совсем немного времени до нашей свадьбы, а торжество на грани срыва! На нервной почве я заболела, так что к проблеме с поиском нового ресторана прибавились еще и проблемы со здоровьем! И вот в таком состоянии я вынуждена проводить последние недели перед свадьбой!!! Будущим соискателям этого места, советую задуматься, прежде чем иметь дело с этим рестораном! Прочитав отзыв от 11.12.2013 о неудачном опыте проведения свадьбы в ресторане Легран, еще раз убедилась, что место это – «опасное» для проведения такого важного и светлого праздника, как свадьба!!! Конечно, вопрос к руководству остается открытым! Уважаемая Светлана Викторовна Компель, если Вам дорога репутация Вашего ресторана и Ваша собственная, задумайтесь пожалуйста об уровне сервиса ресторана! Если каждый раз при увольнении/смене Ваших сотрудников будут возникать подобные ситуации, наверное, это не пойдет Вашему заведению на пользу. И еще одна просьба – будьте открыты для общения! Механизм обратной связи - неотъемлемый элемент успешной коммуникации! Не думаю, что Вам, как человеку менеджмента, это неизвестно!
